#Cluster          RA        DEC      R_Sun    DR     R_GC    DR   N_RV   N_PM    Mass         DM         V     DV   M/L_V   DM/L    rc     rh,l     rh,m     rt    rho_c  rho_h,m   sig_c   sig_h,m lg Trh  lg Mini  T_Diss  M_Low  M_High       MF          sig0    vesc    etac   etah
# Name                               [kpc]  [kpc]   [kpc]  [kpc]                [Msun]      [Msun]        [mag]      [Msun/Lsun]   [pc]    [pc]     [pc]    [pc]  [Ms/pc3][Ms/pc3] [Ms/pc2] [Ms/pc2] [yr]   [Msun]   [Gyr]  [Msun]  [Msun]      Slope      [km/s]  [km/s]               
#  (1)            (2)       (3)       (4)     (5)    (6)     (7)  (8)    (9)     (10)        (11)      (12)   (13)   (14)   (15)   (16)    (17)     (18)    (19)     (20)    (21)    (22)    (23)    (24)    (25)     (26)   (27)    (28)    (30)    (32)    (33)    (34)    (35)   (36)
NGC_5824       225.99416  -33.06814  31.71   0.60   25.42    0.57   140    146  7.46e+05   4.07e+04    8.86   0.07   1.99   0.17   0.61    4.51     6.31   254.86    4.65    2.55    4.76    3.54    9.61    6.15    307.9   0.67    0.77   -1.30 +- 0.41    11.3    44.8   -0.41  -0.03
Pal_5          229.01917   -0.12100  21.94   0.51   17.27    0.47    46      0  1.34e+04   2.39e+03   11.86   0.04   1.66   0.30  15.35   20.42    27.63    49.73   -0.80   -1.12    0.78    0.57    9.90    4.78      7.7   0.29    0.81   -0.84 +- 0.19     0.7     2.1   -0.15  -0.06    
NGC_5897       229.35166  -21.01012  12.55   0.24    7.41    0.18   160    844  1.67e+05   9.81e+03    8.48   0.04   2.37   0.16   5.00    7.62    10.90    72.04    1.66    1.19    2.76    2.46    9.79    5.72     17.2   0.24    0.79   -1.01 +- 0.11     3.6    12.5   -0.20  -0.09
NGC_5904       229.63841    2.08103   7.48   0.06    6.27    0.02   463   5285  3.92e+05   4.42e+03    5.95   0.03   1.81   0.05   1.13    3.52     5.60    81.29    3.67    2.43    4.11    3.38    9.50    5.94     52.5   0.16    0.79   -0.76 +- 0.11     7.9    30.4   -0.37  -0.09
NGC_5927       232.00287  -50.67303   8.27   0.11    4.77    0.03   582   4302  2.93e+05   4.72e+03    7.74   0.04   1.74   0.07   1.33    3.11     5.92    64.50    3.39    2.23    3.89    3.21    9.43    5.86     33.5   0.50    0.81   -0.99 +- 0.15     6.6    25.2   -0.31  -0.09
NGC_5946       233.86905  -50.65971   9.64   0.51    5.20    0.26    38    130  1.13e+05   1.58e+04    9.49   0.08   1.91   0.30   0.37    1.96     2.83    47.08    4.41    2.79    4.39    3.44    8.68    6.19      2.1   0.52    0.80   -0.65 +- 0.16     6.2    24.3   -0.38  -0.11    
NGC_5986       236.51250  -37.78642  10.54   0.13    4.85    0.08   244   3733  2.99e+05   5.41e+03    7.70   0.04   1.71   0.07   0.75    2.84     4.35    68.63    4.02    2.64    4.30    3.48    9.24    6.25      5.7   0.43    0.76   -0.59 +- 0.17     8.0    30.6   -0.33  -0.11
FSR_1716       242.62500  -53.74889   7.43   0.27    4.14    0.02    14     28  5.66e+04   1.97e+04   13.06   0.11   8.08   2.94   1.78    3.70     5.26    34.12    2.40    1.67    3.06    2.61    9.01    5.52      5.4  99.90   99.90   -0.37 +- 0.30     3.0    11.1   -0.28  -0.12    
Pal_14         242.75250   14.95778  73.58   1.63   68.55    1.56    16      0  1.91e+04   3.55e+03   14.13   0.03   1.70   0.32  15.86   27.63    37.72    45.81   -0.83   -1.35    0.78    0.45   10.19    5.03      6.0   0.54    0.81   -1.26 +- 0.24     0.7     2.3   -0.16  -0.01    
Lynga_7        242.76521  -55.31778   7.90   0.16    4.35    0.03    26    294  6.75e+04   9.02e+03    9.87   0.14   1.41   0.26   1.32    3.91     4.97    38.42    2.77    1.82    3.30    2.73    8.97    5.67      4.7   0.32    0.80    0.30 +- 0.16     3.4    12.8   -0.31  -0.13    
